Number,Section,Isolate number,Isolate,Collection,Area
1437,4,54,293C,first,10.38
1438,4,54,293C,first,14.763
1439,4,54,293C,first,13.777
1440,4,54,293C,first,11.251
1441,4,55,293D,first,7.39
1442,4,55,293D,first,12.467
1443,4,55,293D,first,9.369
1444,4,55,293D,first,14.86
1445,4,55,293D,first,14.222
1446,4,55,293D,first,23.446
1447,4,55,293D,first,19.506
1448,4,55,293D,first,11.391
1449,4,55,293D,first,8.9
1450,4,55,293D,first,13.075
1451,4,56,293E,first,9.585
1452,4,56,293E,first,7.32
1453,4,56,293E,first,15.437
1454,4,56,293E,first,15.999
1455,4,56,293E,first,8.889
1456,4,56,293E,first,10.444
1457,4,56,293E,first,1.249
1458,4,56,293E,first,11.665
1459,4,56,293E,first,13.559
1460,4,56,293E,first,12.212
1461,4,57,975C,first,13.278
1462,4,57,975C,first,9.987
1463,4,57,975C,first,16.995
1464,4,57,975C,first,14.517
1465,4,57,975C,first,16.721
1466,4,57,975C,first,13
1467,4,57,975C,first,10.094
1468,4,57,975C,first,11.648
1469,4,57,975C,first,14.339
1470,4,57,975C,first,15.467
1471,4,58,979C,first,6.916
1472,4,58,979C,first,8.309
1473,4,58,979C,first,14.135
1474,4,58,979C,first,10.116
1475,4,58,979C,first,15.226
1476,4,58,979C,first,12.609
1477,4,58,979C,first,14.755
1478,4,58,979C,first,12.227
1479,4,58,979C,first,12.674
1480,4,58,979C,first,13.422
1481,4,59,1022,first,15.041
1482,4,59,1022,first,11.311
1483,4,59,1022,first,13.522
1484,4,59,1022,first,16.443
1485,4,59,1022,first,12.057
1486,4,59,1022,first,19.24
1487,4,59,1022,first,14.319
1488,4,59,1022,first,15.209
1489,4,59,1022,first,14.128
1490,4,59,1022,first,13.338
1491,4,60,978B,first,4.24
1492,4,60,978B,first,4.03
1493,4,60,978B,first,4.164
1494,4,60,978B,first,2.294
1495,4,60,978B,first,3.193
1496,4,60,978B,first,2.976
1497,4,60,978B,first,2.43
1498,4,60,978B,first,5.935
1499,4,60,978B,first,4.439
1500,4,60,978B,first,2.819
1501,4,61,978D,first,6.455
1502,4,61,978D,first,4.86
1503,4,61,978D,first,3.365
1504,4,61,978D,first,5.25
1505,4,61,978D,first,2.935
1506,4,61,978D,first,2.682
1507,4,61,978D,first,4.139
1508,4,61,978D,first,2.527
1509,4,61,978D,first,7.168
1510,4,61,978D,first,3.297
1511,4,62,15,first,6.028
1512,4,62,15,first,3.386
1513,4,62,15,first,7.67
1514,4,62,15,first,9.371
1515,4,62,15,first,11.435
1516,4,62,15,first,13.596
1517,4,62,15,first,11.836
1518,4,62,15,first,12.944
1519,4,62,15,first,12.385
1520,4,62,15,first,9.568
1521,4,63,977A,first,6.901
1522,4,63,977A,first,3.877
1523,4,63,977A,first,2.459
1524,4,63,977A,first,2.033
1525,4,63,977A,first,2.016
1526,4,63,977A,first,2.695
1527,4,63,977A,first,3.477
1528,4,63,977A,first,15.015
1529,4,63,977A,first,4.735
1530,4,63,977A,first,4.115
1531,4,64,977C,first,11.765
1532,4,64,977C,first,6.044
1533,4,64,977C,first,12.826
1534,4,64,977C,first,21.992
1535,4,64,977C,first,13.158
1536,4,64,977C,first,10.985
1537,4,64,977C,first,8.332
1538,4,64,977C,first,12.086
1539,4,64,977C,first,22.488
1540,4,64,977C,first,10.891
1541,4,65,977D,first,10.483
1542,4,65,977D,first,7.951
1543,4,65,977D,first,10.283
1544,4,65,977D,first,17.316
1545,4,65,977D,first,9.38
1546,4,65,977D,first,11.42
1547,4,65,977D,first,18.402
1548,4,65,977D,first,12.522
1549,4,65,977D,first,9.792
1550,4,65,977D,first,13.992
1551,4,66,977E,first,12.83
1552,4,66,977E,first,13.259
1553,4,66,977E,first,13.442
1554,4,66,977E,first,14.754
1555,4,66,977E,first,18.016
1556,4,66,977E,first,9.937
1557,4,66,977E,first,8.672
1558,4,66,977E,first,12.791
1559,4,66,977E,first,6.592
1560,4,66,977E,first,6.331
1561,4,67,1017,first,14.84
1562,4,67,1017,first,8.518
1563,4,67,1017,first,13.012
1564,4,67,1017,first,6.953
1565,4,67,1017,first,9.06
1566,4,67,1017,first,15.336
1567,4,67,1017,first,5.184
1568,4,67,1017,first,15.291
1569,4,67,1017,first,19.016
1570,4,67,1017,first,21.017
1571,4,68,1021,first,11.241
1572,4,68,1021,first,10.692
1573,4,68,1021,first,13.969
1574,4,68,1021,first,15.177
1575,4,68,1021,first,9.674
1576,4,68,1021,first,10.06
1577,4,68,1021,first,18.522
1578,4,68,1021,first,21.237
1579,4,68,1021,first,13.446
1580,4,68,1021,first,11.75
1581,4,69,1018,first,16.645
1582,4,69,1018,first,6.233
1583,4,69,1018,first,16.003
1584,4,69,1018,first,9.399
1585,4,69,1018,first,9.833
1586,4,69,1018,first,12.909
1587,4,69,1018,first,11.548
1588,4,69,1018,first,6.599
1589,4,69,1018,first,11.1
1590,4,69,1018,first,11.9
1591,4,70,978A,first,12.461
1592,4,70,978A,first,8.304
1593,4,70,978A,first,10.304
1594,4,70,978A,first,7.318
1595,4,70,978A,first,15.276
1596,4,70,978A,first,11.617
1597,4,70,978A,first,7.602
1598,4,70,978A,first,4.274
1599,4,70,978A,first,0.002
1600,4,70,978A,first,13.94
1601,4,46,399A,second,2.538
1602,4,46,399A,second,10.246
1603,4,46,399A,second,3.832
1604,4,46,399A,second,3.33
1605,4,46,399A,second,5.147
1606,4,46,399A,second,13.574
1607,4,46,399A,second,10.028
1608,4,46,399A,second,6.867
1609,4,46,399A,second,3.381
1610,4,46,399A,second,3.852
1611,4,47,399B,second,4.079
1612,4,47,399B,second,4.854
1613,4,47,399B,second,4.318
1614,4,47,399B,second,5.411
1615,4,47,399B,second,9.153
1616,4,47,399B,second,6.745
1617,4,47,399B,second,11.487
1618,4,47,399B,second,6.528
1619,4,47,399B,second,5.395
1620,4,47,399B,second,5.079
1621,4,48,834A,second,2.567
1622,4,48,834A,second,3.466
1623,4,48,834A,second,4.698
1624,4,48,834A,second,3.914
1625,4,48,834A,second,5.953
1626,4,48,834A,second,12.014
1627,4,48,834A,second,4.292
1628,4,48,834A,second,5.95
1629,4,48,834A,second,9.658
1630,4,48,834A,second,6.913
1631,4,49,289,second,2.689
1632,4,49,289,second,5.149
1633,4,49,289,second,7.283
1634,4,49,289,second,6.17
1635,4,49,289,second,9.12
1636,4,49,289,second,9.953
1637,4,49,289,second,8.133
1638,4,49,289,second,6.523
1639,4,49,289,second,10.699
1640,4,49,289,second,11.125
1641,4,50,267,second,6.481
1642,4,50,267,second,11.302
1643,4,50,267,second,12.342
1644,4,50,267,second,3.892
1645,4,50,267,second,11.66
1646,4,50,267,second,5.913
1647,4,50,267,second,6.475
1648,4,50,267,second,15.054
1649,4,50,267,second,9.439
1650,4,50,267,second,4.969
1651,4,51,264,second,3.476
1652,4,51,264,second,8.744
1653,4,51,264,second,2.728
1654,4,51,264,second,1.362
1655,4,51,264,second,2.514
1656,4,51,264,second,2.321
1657,4,51,264,second,1.48
1658,4,51,264,second,2.695
1659,4,51,264,second,9.536
1660,4,51,264,second,2.929
1661,4,52,293A,second,1.674
1662,4,52,293A,second,4.547
1663,4,52,293A,second,6.317
1664,4,52,293A,second,2.738
1665,4,52,293A,second,1.144
1666,4,52,293A,second,1.013
1667,4,52,293A,second,8.797
1668,4,52,293A,second,3.663
1669,4,52,293A,second,6.76
1670,4,52,293A,second,2.658
1671,4,53,293B,second,5.225
1672,4,53,293B,second,1.28
1673,4,53,293B,second,5.52
1674,4,53,293B,second,8.154
1675,4,53,293B,second,4.845
1676,4,53,293B,second,6.657
1677,4,53,293B,second,1.855
1678,4,53,293B,second,11.218
1679,4,53,293B,second,5.594
1680,4,53,293B,second,1.917
1681,4,54,293C,second,1.253
1682,4,54,293C,second,3.156
1683,4,54,293C,second,11.609
1684,4,54,293C,second,2.523
1685,4,54,293C,second,4.195
1686,4,54,293C,second,11.876
1687,4,54,293C,second,2.326
1688,4,54,293C,second,3.393
1689,4,54,293C,second,2.287
1690,4,54,293C,second,7.542
1691,4,55,293D,second,0.582
1692,4,55,293D,second,5.091
1693,4,55,293D,second,0.968
1694,4,55,293D,second,5.117
1695,4,55,293D,second,2.337
1696,4,55,293D,second,2.403
1697,4,55,293D,second,0.001
1698,4,55,293D,second,0.596
1699,4,55,293D,second,0.376
1700,4,55,293D,second,1.165
1701,4,56,293E,second,6.434
1702,4,56,293E,second,10.075
1703,4,56,293E,second,7.184
1704,4,56,293E,second,8.643
1705,4,56,293E,second,7.8
1706,4,56,293E,second,4.718
1707,4,56,293E,second,5.323
1708,4,56,293E,second,7.27
1709,4,56,293E,second,11.33
1710,4,56,293E,second,9.207
1711,4,57,975C,second,4.334
1712,4,57,975C,second,0.905
1713,4,57,975C,second,0.5
1714,4,57,975C,second,7.171
1715,4,57,975C,second,8.036
1716,4,57,975C,second,2.436
1717,4,57,975C,second,6.106
1718,4,57,975C,second,0.796
1719,4,57,975C,second,5.173
1720,4,57,975C,second,1.248
1721,4,58,979C,second,7.551
1722,4,58,979C,second,10.588
1723,4,58,979C,second,11.889
1724,4,58,979C,second,7.377
1725,4,58,979C,second,15.963
1726,4,58,979C,second,12.38
1727,4,58,979C,second,14.219
1728,4,58,979C,second,6.477
1729,4,58,979C,second,13.058
1730,4,58,979C,second,13.712
1731,4,59,1022,second,10.258
1732,4,59,1022,second,9.027
1733,4,59,1022,second,6.431
1734,4,59,1022,second,11.622
1735,4,59,1022,second,12.842
1736,4,59,1022,second,12.108
1737,4,59,1022,second,10.944
1738,4,59,1022,second,11.796
1739,4,59,1022,second,16.749
1740,4,59,1022,second,6.558
1741,4,60,978B,second,2.482
1742,4,60,978B,second,2.666
1743,4,60,978B,second,2.245
1744,4,60,978B,second,2.694
1745,4,60,978B,second,4.247
1746,4,60,978B,second,2.723
1747,4,60,978B,second,3.407
1748,4,60,978B,second,6.925
1749,4,60,978B,second,3.874
1750,4,60,978B,second,3.531
1751,4,61,978D,second,3.537
1752,4,61,978D,second,6.57
1753,4,61,978D,second,2.588
1754,4,61,978D,second,2.302
1755,4,61,978D,second,3.662
1756,4,61,978D,second,2.407
1757,4,61,978D,second,3.906
1758,4,61,978D,second,3.976
1759,4,61,978D,second,2.655
1760,4,61,978D,second,3.105
1761,4,62,15,second,11.165
1762,4,62,15,second,10.335
1763,4,62,15,second,9.43
1764,4,62,15,second,7.525
1765,4,62,15,second,6.797
1766,4,62,15,second,12.049
1767,4,62,15,second,5.513
1768,4,62,15,second,10.956
1769,4,62,15,second,12.797
1770,4,62,15,second,10.437
1771,4,63,977A,second,13.032
1772,4,63,977A,second,13.124
1773,4,63,977A,second,17.01
1774,4,63,977A,second,8.465
1775,4,63,977A,second,10.309
1776,4,63,977A,second,15.484
1777,4,63,977A,second,10.953
1778,4,63,977A,second,7.954
1779,4,63,977A,second,10.68
1780,4,63,977A,second,17.517
1781,4,64,977C,second,5.105
1782,4,64,977C,second,7.625
1783,4,64,977C,second,11.218
1784,4,64,977C,second,11.247
1785,4,64,977C,second,15.879
1786,4,64,977C,second,14.005
1787,4,64,977C,second,6.3
1788,4,64,977C,second,13.807
1789,4,64,977C,second,10.944
1790,4,64,977C,second,16.521
1791,4,65,977D,second,9.323
1792,4,65,977D,second,9.613
1793,4,65,977D,second,10.422
1794,4,65,977D,second,14.38
1795,4,65,977D,second,15.52
1796,4,65,977D,second,14.019
1797,4,65,977D,second,5.241
1798,4,65,977D,second,8.899
1799,4,65,977D,second,7.117
1800,4,65,977D,second,15.129
1801,4,66,977E,second,10.152
1802,4,66,977E,second,12.951
1803,4,66,977E,second,7.748
1804,4,66,977E,second,9.544
1805,4,66,977E,second,11.637
1806,4,66,977E,second,6.875
1807,4,66,977E,second,3.209
1808,4,66,977E,second,5.624
1809,4,66,977E,second,9.863
1810,4,66,977E,second,13.333
1811,4,67,1017,second,3.633
1812,4,67,1017,second,9.944
1813,4,67,1017,second,13.648
1814,4,67,1017,second,6.666
1815,4,67,1017,second,11.037
1816,4,67,1017,second,9.304
1817,4,67,1017,second,7.096
1818,4,67,1017,second,6.07
1819,4,67,1017,second,5.34
1820,4,67,1017,second,4.845
1821,4,68,1021,second,12.217
1822,4,68,1021,second,10.418
1823,4,68,1021,second,10.413
1824,4,68,1021,second,11.373
1825,4,68,1021,second,11.062
1826,4,68,1021,second,16.866
1827,4,68,1021,second,11.966
1828,4,68,1021,second,9.693
1829,4,68,1021,second,11.63
1830,4,68,1021,second,22.059
1831,4,69,1018,second,7.092
1832,4,69,1018,second,11.644
1833,4,69,1018,second,9.217
1834,4,69,1018,second,5.62
1835,4,69,1018,second,15.908
1836,4,69,1018,second,6.761
1837,4,69,1018,second,11.455
1838,4,69,1018,second,9.432
1839,4,69,1018,second,7.511
1840,4,69,1018,second,17.342
1841,4,70,978A,second,4.261
1842,4,70,978A,second,4.608
1843,4,70,978A,second,7.899
1844,4,70,978A,second,8.923
1845,4,70,978A,second,9.95
1846,4,70,978A,second,6.348
1847,4,70,978A,second,5.559
1848,4,70,978A,second,14.045
1849,4,70,978A,second,4.036
1850,4,70,978A,second,4.052
1851,4,46,399A,third,16.146
1852,4,46,399A,third,8.155
1853,4,46,399A,third,12.442
1854,4,46,399A,third,14.178
1855,4,46,399A,third,1.214
1856,4,46,399A,third,11.907
1857,4,46,399A,third,7.819
1858,4,46,399A,third,11.769
1859,4,46,399A,third,10.898
1860,4,46,399A,third,11.243
1861,4,47,399B,third,6.908
1862,4,47,399B,third,3.155
1863,4,47,399B,third,3.631
1864,4,47,399B,third,3.693
1865,4,47,399B,third,4.802
1866,4,47,399B,third,7.429
1867,4,47,399B,third,13.439
1868,4,47,399B,third,10.879
1869,4,47,399B,third,10.605
1870,4,47,399B,third,9.058
1871,4,48,834A,third,5.617
1872,4,48,834A,third,11.545
1873,4,48,834A,third,11.882
1874,4,48,834A,third,7.59
1875,4,48,834A,third,7.934
1876,4,48,834A,third,17.199
1877,4,48,834A,third,6.213
1878,4,48,834A,third,12.26
1879,4,48,834A,third,13.149
1880,4,48,834A,third,12.765
1881,4,49,289,third,3.372
1882,4,49,289,third,4.63
1883,4,49,289,third,2.155
1884,4,49,289,third,5.508
1885,4,49,289,third,4.487
1886,4,49,289,third,3.993
1887,4,49,289,third,0.81
1888,4,49,289,third,6.969
1889,4,49,289,third,5.426
1890,4,49,289,third,8.601
1891,4,50,267,third,5.331
1892,4,50,267,third,6.896
1893,4,50,267,third,16.146
1894,4,50,267,third,14.655
1895,4,50,267,third,15.419
1896,4,50,267,third,13.053
1897,4,50,267,third,2.763
1898,4,50,267,third,8.692
1899,4,50,267,third,19.335
1900,4,50,267,third,14.159
1901,4,51,264,third,2.141
1902,4,51,264,third,8.009
1903,4,51,264,third,5.034
1904,4,51,264,third,1.795
1905,4,51,264,third,7.857
1906,4,51,264,third,15.943
1907,4,51,264,third,2.208
1908,4,51,264,third,10.706
1909,4,51,264,third,11.184
1910,4,51,264,third,14.144
1911,4,52,293A,third,4.588
1912,4,52,293A,third,14.462
1913,4,52,293A,third,7.017
1914,4,52,293A,third,5.633
1915,4,52,293A,third,3.772
1916,4,52,293A,third,3.499
1917,4,52,293A,third,10.999
1918,4,52,293A,third,7.163
1919,4,52,293A,third,15.856
1920,4,52,293A,third,13.38
1921,4,53,293B,third,7.865
1922,4,53,293B,third,6.531
1923,4,53,293B,third,11.451
1924,4,53,293B,third,16.245
1925,4,53,293B,third,9.131
1926,4,53,293B,third,16.623
1927,4,53,293B,third,9.687
1928,4,53,293B,third,11.558
1929,4,53,293B,third,17.957
1930,4,53,293B,third,7.361
1931,4,54,293C,third,10.463
1932,4,54,293C,third,5.605
1933,4,54,293C,third,14.803
1934,4,54,293C,third,2.409
1935,4,54,293C,third,12.159
1936,4,54,293C,third,7.245
1937,4,54,293C,third,6.194
1938,4,54,293C,third,11.337
1939,4,54,293C,third,5.444
1940,4,54,293C,third,13.882
1941,4,55,293D,third,5.028
1942,4,55,293D,third,6.585
1943,4,55,293D,third,6.862
1944,4,55,293D,third,5.464
1945,4,55,293D,third,6.653
1946,4,55,293D,third,5.34
1947,4,55,293D,third,14.147
1948,4,55,293D,third,9.705
1949,4,55,293D,third,15.909
1950,4,55,293D,third,6.466
1951,4,56,293E,third,2.271
1952,4,56,293E,third,3.999
1953,4,56,293E,third,1.191
1954,4,56,293E,third,5.287
1955,4,56,293E,third,5.535
1956,4,56,293E,third,4.688
1957,4,56,293E,third,1.482
1958,4,56,293E,third,3.4
1959,4,56,293E,third,2.095
1960,4,56,293E,third,8.458
1961,4,57,975C,third,0.93
1962,4,57,975C,third,5.532
1963,4,57,975C,third,7.283
1964,4,57,975C,third,0.524
1965,4,57,975C,third,6.714
1966,4,57,975C,third,6.248
1967,4,57,975C,third,2.183
1968,4,57,975C,third,7.519
1969,4,57,975C,third,9.707
1970,4,57,975C,third,3.994
1971,4,58,979C,third,0.844
1972,4,58,979C,third,1.318
1973,4,58,979C,third,0.001
1974,4,58,979C,third,0.309
1975,4,58,979C,third,1.079
1976,4,58,979C,third,1.104
1977,4,58,979C,third,0.087
1978,4,58,979C,third,0.002
1979,4,58,979C,third,0.284
1980,4,58,979C,third,0.304
1981,4,59,1022,third,0.561
1982,4,59,1022,third,0.282
1983,4,59,1022,third,3.518
1984,4,59,1022,third,0.722
1985,4,59,1022,third,9.37
1986,4,59,1022,third,0.349
1987,4,59,1022,third,3.388
1988,4,59,1022,third,4.9
1989,4,59,1022,third,1.818
1990,4,59,1022,third,4.17
1991,4,60,978B,third,1.79
1992,4,60,978B,third,0.682
1993,4,60,978B,third,3.396
1994,4,60,978B,third,1.754
1995,4,60,978B,third,2.21
1996,4,60,978B,third,1.18
1997,4,60,978B,third,0.848
1998,4,60,978B,third,1.69
1999,4,60,978B,third,2.093
2000,4,60,978B,third,3
2001,4,61,978D,third,2.168
2002,4,61,978D,third,1.544
2003,4,61,978D,third,0.094
2004,4,61,978D,third,2.451
2005,4,61,978D,third,0.369
2006,4,61,978D,third,0.334
2007,4,61,978D,third,0.475
2008,4,61,978D,third,3.721
2009,4,61,978D,third,2.796
2010,4,61,978D,third,1.895
2011,4,62,15,third,0.355
2012,4,62,15,third,1.764
2013,4,62,15,third,7.234
2014,4,62,15,third,1.045
2015,4,62,15,third,4.731
2016,4,62,15,third,7.577
2017,4,62,15,third,4.523
2018,4,62,15,third,6.26
2019,4,62,15,third,6.721
2020,4,62,15,third,0.485
2021,4,63,977A,third,0.108
2022,4,63,977A,third,1.361
2023,4,63,977A,third,0.002
2024,4,63,977A,third,0.001
2025,4,63,977A,third,5.732
2026,4,63,977A,third,6.584
2027,4,63,977A,third,4.127
2028,4,63,977A,third,3.332
2029,4,63,977A,third,8.338
2030,4,63,977A,third,4.928
2031,4,64,977C,third,0.016
2032,4,64,977C,third,2.579
2033,4,64,977C,third,3.665
2034,4,64,977C,third,5.755
2035,4,64,977C,third,0.002
2036,4,64,977C,third,8.768
2037,4,64,977C,third,4.887
2038,4,64,977C,third,5.315
2039,4,64,977C,third,8.865
2040,4,64,977C,third,8.662
2041,4,65,977D,third,6.618
2042,4,65,977D,third,12.439
2043,4,65,977D,third,7.254
2044,4,65,977D,third,0.622
2045,4,65,977D,third,10.169
2046,4,65,977D,third,13.142
2047,4,65,977D,third,2.801
2048,4,65,977D,third,4.752
2049,4,65,977D,third,9.176
2050,4,65,977D,third,8.89
2051,4,66,977E,third,7.616
2052,4,66,977E,third,1.171
2053,4,66,977E,third,7.217
2054,4,66,977E,third,6.487
2055,4,66,977E,third,0.728
2056,4,66,977E,third,5.479
2057,4,66,977E,third,0.001
2058,4,66,977E,third,3.502
2059,4,66,977E,third,9.232
2060,4,66,977E,third,2.737
2061,4,67,1017,third,0.389
2062,4,67,1017,third,0.059
2063,4,67,1017,third,1.47
2064,4,67,1017,third,2.741
2065,4,67,1017,third,5.867
2066,4,67,1017,third,9.965
2067,4,67,1017,third,2.245
2068,4,67,1017,third,6.624
2069,4,67,1017,third,5.779
2070,4,67,1017,third,4.239
2071,4,68,1021,third,0.033
2072,4,68,1021,third,4.049
2073,4,68,1021,third,0.726
2074,4,68,1021,third,0.027
2075,4,68,1021,third,4.902
2076,4,68,1021,third,4.326
2077,4,68,1021,third,0.001
2078,4,68,1021,third,7.057
2079,4,68,1021,third,2.129
2080,4,68,1021,third,2.902
2081,4,69,1018,third,4.464
2082,4,69,1018,third,2.547
2083,4,69,1018,third,5.356
2084,4,69,1018,third,2.134
2085,4,69,1018,third,3.369
2086,4,69,1018,third,5.017
2087,4,69,1018,third,4.75
2088,4,69,1018,third,10.55
2089,4,69,1018,third,2.019
2090,4,69,1018,third,0.867
2091,4,70,978A,third,2.022
2092,4,70,978A,third,3.589
2093,4,70,978A,third,1.508
2094,4,70,978A,third,0.576
2095,4,70,978A,third,5.912
2096,4,70,978A,third,6.513
2097,4,70,978A,third,1.872
2098,4,70,978A,third,3.093
2099,4,70,978A,third,1.707
2100,4,70,978A,third,5.421
